DATE,ATNHPIUS10740Q
1977-07-01,36.84
1977-10-01,39.3
1978-01-01,39.29
1978-04-01,42.16
1978-07-01,43.96
1978-10-01,45.67
1979-01-01,47.15
1979-04-01,49.51
1979-07-01,50.04
1979-10-01,50.33
1980-01-01,53.11
1980-04-01,53.38
1980-07-01,53.81
1980-10-01,56.24
1981-01-01,54.42
1981-04-01,58.10
1981-07-01,57.51
1981-10-01,57.37
1982-01-01,47.62
1982-04-01,53.45
1982-07-01,61.92
1982-10-01,60.52
1983-01-01,59.81
1983-04-01,62.09
1983-07-01,64.39
1983-10-01,65.98
1984-01-01,66.64
1984-04-01,64.69
1984-07-01,66.91
1984-10-01,68.63
1985-01-01,68.31
1985-04-01,69.33
1985-07-01,70.86
1985-10-01,70.13
1986-01-01,71.70
1986-04-01,72.39
1986-07-01,72.92
1986-10-01,73.87
1987-01-01,75.32
1987-04-01,75.32
1987-07-01,75.57
1987-10-01,75.06
1988-01-01,75.29
1988-04-01,75.74
1988-07-01,75.36
1988-10-01,74.36
1989-01-01,75.39
1989-04-01,75.47
1989-07-01,76.57
1989-10-01,76.25
1990-01-01,75.16
1990-04-01,75.42
1990-07-01,75.93
1990-10-01,75.51
1991-01-01,75.88
1991-04-01,76.57
1991-07-01,77.17
1991-10-01,77.94
1992-01-01,79.77
1992-04-01,80.52
1992-07-01,80.99
1992-10-01,82.07
1993-01-01,83.14
1993-04-01,85.28
1993-07-01,87.05
1993-10-01,89.03
1994-01-01,91.58
1994-04-01,95.15
1994-07-01,97.9
1994-10-01,98.83
1995-01-01,100.00
1995-04-01,102.25
1995-07-01,104.01
1995-10-01,104.9
1996-01-01,105.72
1996-04-01,105.31
1996-07-01,105.26
1996-10-01,105.85
1997-01-01,106.3
1997-04-01,106.56
1997-07-01,107.18
1997-10-01,108.66
1998-01-01,109.12
1998-04-01,108.71
1998-07-01,109.11
1998-10-01,109.91
1999-01-01,109.47
1999-04-01,109.24
1999-07-01,108.9
1999-10-01,108.86
2000-01-01,109.35
2000-04-01,109.09
2000-07-01,109.99
2000-10-01,110.5
2001-01-01,113.03
2001-04-01,113.97
2001-07-01,114.44
2001-10-01,115.31
2002-01-01,115.75
2002-04-01,116.77
2002-07-01,118.32
2002-10-01,119.07
2003-01-01,120.27
2003-04-01,121.54
2003-07-01,122.42
2003-10-01,124.81
2004-01-01,126.25
2004-04-01,128.7
2004-07-01,131.97
2004-10-01,134.28
2005-01-01,136.91
2005-04-01,143.92
2005-07-01,150.05
2005-10-01,154.73
2006-01-01,160.52
2006-04-01,166.84
2006-07-01,172.78
2006-10-01,176.18
2007-01-01,178.52
2007-04-01,180.18
2007-07-01,180.7
2007-10-01,180.87
2008-01-01,181.3
2008-04-01,178.65
2008-07-01,174.53
2008-10-01,173.52
2009-01-01,174.68
2009-04-01,168.41
2009-07-01,164.39
2009-10-01,163.80
2010-01-01,163.29
2010-04-01,160.73
2010-07-01,161.33
2010-10-01,159.99
2011-01-01,155.50
2011-04-01,151.66
2011-07-01,152.59
2011-10-01,153.38
2012-01-01,150.70
2012-04-01,149.68
2012-07-01,151.42
2012-10-01,150.97
2013-01-01,151.53
2013-04-01,151.83
2013-07-01,151.86
2013-10-01,151.39
2014-01-01,152.12
2014-04-01,153.69
2014-07-01,155.14
2014-10-01,155.23
2015-01-01,156.06
2015-04-01,156.95
2015-07-01,157.62
2015-10-01,157.29
2016-01-01,158.57
2016-04-01,161.30
2016-07-01,163.01
2016-10-01,165.61
2017-01-01,164.24
2017-04-01,166.50
2017-07-01,169.90
2017-10-01,170.01
2018-01-01,171.38
2018-04-01,173.91
2018-07-01,174.82
2018-10-01,175.20
2019-01-01,177.05
2019-04-01,181.59
2019-07-01,184.21
2019-10-01,185.36
2020-01-01,188.32
2020-04-01,190.75
2020-07-01,195.08
2020-10-01,199.63
2021-01-01,205.86
2021-04-01,215.77
2021-07-01,228.46
2021-10-01,236.96
2022-01-01,245.06
2022-04-01,260.60
2022-07-01,266.85
2022-10-01,271.01
2023-01-01,269.52
2023-04-01,279.87
2023-07-01,285.99
2023-10-01,283.57
