DATE,ALBU735PCPI
1969-01-01,3303
1970-01-01,3702
1971-01-01,4021
1972-01-01,4499
1973-01-01,4795
1974-01-01,5203
1975-01-01,5754
1976-01-01,6318
1977-01-01,6832
1978-01-01,7729
1979-01-01,8517
1980-01-01,9247
1981-01-01,10122
1982-01-01,11187
1983-01-01,12041
1984-01-01,13085
1985-01-01,14079
1986-01-01,14617
1987-01-01,15041
1988-01-01,15772
1989-01-01,16468
1990-01-01,17389
1991-01-01,18191
1992-01-01,18997
1993-01-01,19978
1994-01-01,21070
1995-01-01,22091
1996-01-01,22867
1997-01-01,23750
1998-01-01,24527
1999-01-01,24839
2000-01-01,26605
2001-01-01,27672
2002-01-01,28149
2003-01-01,28963
2004-01-01,30161
2005-01-01,31254
2006-01-01,32924
2007-01-01,33770
2008-01-01,35078
2009-01-01,34503
2010-01-01,34521
2011-01-01,35720
2012-01-01,35918
2013-01-01,35330
2014-01-01,37284
2015-01-01,38644
2016-01-01,40050
2017-01-01,40802
2018-01-01,42178
2019-01-01,44587
2020-01-01,48654
2021-01-01,52972
2022-01-01,53954
